goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule001-18         	  370837	       307.6 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  440515	       305.4 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  448357	       305.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  432805	       303.7 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  413228	       302.5 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  455132	       303.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  385635	       292.7 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-18         	  433448	       309.5 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  484812	       231.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  502306	       256.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  524642	       246.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  479131	       270.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  457294	       239.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  543243	       252.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  574362	       250.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-18         	  486267	       234.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  453548	       254.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  560047	       235.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  585445	       232.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  515288	       241.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  582294	       246.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  489285	       237.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  535147	       236.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-18         	  528562	       238.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-18         	  524791	       249.2 ns/op	     168 B/op	       7 allocs/op
