goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Interpreter/rule001-16         	  642626	       162.5 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  812755	       159.5 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  805773	       163.8 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  748460	       161.7 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  825829	       162.9 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  794372	       166.1 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  810103	       165.1 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule001-16         	  767652	       177.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       132.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       130.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       128.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       129.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	  987654	       128.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       128.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       128.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule002-16         	 1000000	       134.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       129.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       128.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       129.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       129.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	  944044	       131.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       131.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       132.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule003-16         	 1000000	       133.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	  972249	       134.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	  946744	       131.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	 1000000	       130.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	 1000000	       129.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	 1000000	       130.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	 1000000	       129.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	 1000000	       133.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule004-16         	 1000000	       131.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	 1000000	       130.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	 1000000	       132.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	  890757	       134.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	 1000000	       131.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	 1000000	       130.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	  982633	       139.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	 1000000	       131.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule005-16         	 1000000	       129.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	 1000000	       137.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  917284	       136.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  971659	       138.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  979024	       151.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  987620	       140.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  909205	       154.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  929211	       143.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule006-16         	  900900	       142.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	  942037	       137.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	  961506	       138.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	  949116	       138.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	  949680	       134.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	  967838	       134.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	 1000000	       142.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	  914082	       134.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule007-16         	 1000000	       136.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	  955000	       138.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	  866763	       139.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	  987484	       134.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	 1000000	       139.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	  970774	       135.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	  995059	       132.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	 1000000	       130.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-16         	 1000000	       143.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  901465	       149.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  925479	       146.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  845317	       156.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  865202	       143.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  949962	       137.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  995850	       135.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	 1000000	       144.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-16         	  990984	       141.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  926252	       141.0 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  957382	       138.1 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  983304	       136.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  980558	       138.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  960447	       135.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  978326	       139.3 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	  967156	       135.1 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-16         	 1000000	       136.1 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  954874	       135.9 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  971168	       135.8 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  959328	       135.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  990133	       136.8 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  996987	       136.3 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  948272	       136.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  936950	       137.7 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-16         	  946029	       136.0 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule012-16         	 1000000	       130.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	 1000000	       130.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	 1000000	       135.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	  990439	       131.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	 1000000	       130.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	 1000000	       130.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	  984312	       130.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-16         	 1000000	       132.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	  974552	       133.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	  980425	       134.2 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	  943858	       134.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	 1000000	       157.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	  943797	       195.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	  929751	       132.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	 1000000	       131.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule013-16         	 1000000	       131.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	 1000000	       132.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	 1000000	       131.3 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	  994303	       130.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	 1000000	       132.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	 1000000	       130.9 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	  815308	       131.6 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	 1000000	       130.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule014-16         	 1000000	       130.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  998924	       134.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  990098	       135.7 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  984884	       135.1 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  984278	       135.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  976436	       137.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  973202	       135.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  987247	       134.9 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule015-16         	  984750	       137.3 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  376135	       315.9 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  366062	       324.4 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  365342	       316.0 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  381314	       309.8 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  402032	       304.2 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  380750	       296.4 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  407619	       293.2 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule016-16         	  413276	       291.0 ns/op	     304 B/op	      13 allocs/op
BenchmarkJit_Interpreter/rule017-16         	  733495	       184.0 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-16         	  713665	       185.2 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-16         	  724856	       190.2 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-16         	  701890	       188.2 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-16         	  699249	       187.4 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-16         	  708522	       192.1 ns/op	     216 B/op	      10 allocs/op
