goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule001-18         	 7699126	        17.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6565389	        17.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6242745	        17.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6900786	        17.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6689593	        17.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6787335	        17.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6593752	        16.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-18         	 6729296	        16.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	10180554	        11.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	10521050	        11.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	 9353961	        11.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	 8419052	        12.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	 8932437	        12.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	 9547639	        11.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	10333108	        11.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-18         	 9035280	        11.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	10565144	        11.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	 9630902	        11.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	 9792379	        11.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	 9570848	        12.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	10302734	        11.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	10025179	        11.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	10991108	        11.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-18         	10219105	        11.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	10156150	        11.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	 9642470	        11.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	 9984398	        12.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	10370408	        11.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	 8844837	        11.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	10100204	        11.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	 9624033	        11.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-18         	 8412890	        14.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	 9050265	        12.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	 9713986	        11.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	 9902625	        11.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	10028096	        12.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	 9935505	        12.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	10138034	        11.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	 9439140	        11.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-18         	 9542138	        11.73 ns/op	       0 B/op	       0 allocs/op
