goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Jit/rule001-16         	12104704	         9.927 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	12109743	         9.890 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	12167145	         9.913 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	12198427	         9.952 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	12206698	        10.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	11943666	         9.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	11954125	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule001-16         	11827515	         9.911 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	15427219	         7.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	14920423	         7.931 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	15358362	         8.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	15245758	         7.976 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	14990942	         8.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	15159490	         7.811 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	15229633	         7.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule002-16         	15326812	         7.948 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	15066229	         8.003 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	15126368	         7.988 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	14810852	         7.975 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	15468733	         7.898 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	15205592	         7.981 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	15089988	         8.001 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	14968892	         7.941 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule003-16         	15209284	         7.897 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	15100590	         7.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	15090622	         7.996 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	14976210	         8.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	15202219	         7.921 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	15579356	         7.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	15287596	         7.924 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	14842836	         7.837 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule004-16         	15333502	         7.828 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15700213	         7.809 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15175306	         7.941 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15597243	         7.961 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15201177	         7.997 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15476550	         7.899 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	14352922	         8.001 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15543370	         7.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule005-16         	15627966	         7.817 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	14717078	         7.937 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	15259246	         8.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	15048751	         8.291 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	15178905	         7.995 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	15464748	         8.192 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	15063942	         7.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	14147744	         8.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule006-16         	14873804	         7.997 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15389958	         7.882 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15420943	         7.888 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15210492	         7.836 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15517825	         7.853 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15108434	         7.921 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15202062	         7.884 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15273733	         7.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule007-16         	15367621	         7.852 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15478128	         7.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15628646	         7.857 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15591163	         7.926 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15369507	         7.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15318088	         7.878 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15184346	         7.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15225205	         7.871 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-16         	15573123	         7.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15179706	         7.893 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15161406	         7.846 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15104076	         7.748 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15483121	         7.771 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15214910	         7.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15458936	         7.847 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15168751	         7.847 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-16         	15388066	         7.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	13954569	         8.627 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	13845021	         8.683 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	13991790	         8.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	14099400	         8.584 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	14167579	         8.393 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	14606608	         8.517 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	14466546	         8.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-16         	13840231	         8.581 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	14507061	         8.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	13631715	         8.577 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	14113702	         8.542 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	14174203	         8.867 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	14077141	         8.874 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	13481126	         8.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	13596256	         8.791 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-16         	13688277	         8.888 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15374266	         7.842 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15071748	         7.791 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15357296	         7.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15007737	         7.866 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15407742	         7.870 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15405105	         7.875 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	15343060	         7.854 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-16         	14684660	         7.865 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15616272	         7.977 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	12887346	         7.931 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15515068	         7.886 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15459516	         7.886 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15120253	         7.866 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15194360	         7.882 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15455452	         7.876 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-16         	15021280	         7.958 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15283296	         7.916 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15366146	         7.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15175705	         7.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15168913	         7.858 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15034375	         7.923 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15060318	         7.992 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15312552	         7.866 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule014-16         	15263452	         7.875 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	14997032	         7.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15186589	         7.865 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15177385	         7.814 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15486786	         7.876 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15014074	         7.831 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	14715950	         7.868 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15278270	         7.811 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule015-16         	15177145	         7.926 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	12263930	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	12088802	         9.861 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11704461	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11274220	         9.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11751024	        10.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11545168	         9.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11876582	        10.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule016-16         	11837286	        10.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15604934	         7.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15584245	         7.753 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15273733	         7.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15225928	         7.662 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15829479	         7.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15350010	         7.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15350829	         7.744 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-16         	15373857	         7.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11791389	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12121824	        10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11757453	        10.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12220218	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12066262	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	12111628	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11979583	        11.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-16         	11971368	        10.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 7839507	        14.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8311879	        14.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8020183	        14.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8644442	        14.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 7847389	        14.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8455342	        14.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8297319	        14.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-16         	 8429925	        14.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13477150	         8.961 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13452349	         8.851 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13531353	         8.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-16         	13277640	         9.089 ns/op	       0 B/op	       0 allocs/op
